,총무과,자치행정과,홍보과,교육지원과,문화체육과,민원여권과,기획예산과,일자리경제과,스마트정보과,재무과,징수과,재산세과,지방소득세과,복지정책과,어르신복지과,자립지원과,가족정책과,보육정책과,녹색환경과,건설관리과,공원녹지과,청소행정과,주택과,도시계획과,재건축사업과,건축과,부동산정보과,안전재난과,도로과,치수과,교통행정과,주차관리과,보건행정과,보건위생과,지역보건과,의약과,보건지소
0,의전,법정선거사무 추진,언론사인터뷰,구립도서관 조성 사업,양천문화원 관련 업무,우수기관 평가업무 총괄,과 예산 및 회계,"일자리플러스센터 운영 총괄(인력관리, 예산편성 등)",예산회계,"국,공유재산 업무 총괄",예산편성 및 구의회에 관한 사항,"재산세 업무총괄, 구세 과징계획수립",지방소득세(양소) 총괄,충무계획(보건복지 실시계획(복지분야)),양천시니어클럽 운영,장애인활동지원,"가족센터, 공동육아나눔터 운영",보육타운 건립,환경문예학교 및 환경의 날 행사 운영,지중화사업,목동중심축 5대공원 맞춤형 리모델링(3개공원) 설계 용역,"예산, 회계, 복무, 회의자료",공동주택 지원사업,"과 예산, 결산",재건축사업 관련 공약사항 총괄,"건축인허가(목1동,목5동)",도로명주소 안내시설물 설치 관리,주요업무계획 수립 및 각종 회의자료 작성,도로사업 중장기계획 수립,감사 및 공사장 점검관련 업무,"화물운송사업(일반)인.허가,변경허가 등","공약사업(주차장 조성), 역점사업 추진","보건소 예산편성 및 결산, 부서 예산 회계지출",식품접객업소 야간점검 총괄,코로나19 백신 예방접종업무 총괄,보건지소 업무 총괄,신월보건지소 업무 총괄
1,통합방위협의회,신월7동 건립 및 동청사 개보수(신월동),"축사, 기고문, 인사말 작성",양천중앙도서관 시설관리 및 구립도서관 개보수,지역문화진흥기금 관리,민원제도개선 및 민원행정종합계획 수립,회의자료 작성(국총괄),일자리플러스센터 연간 계획 수립,대외기관 공모사업 지원 등,공유재산 관리 총괄,"조례규칙개정, 주요업무계획 및 각종회의자료",지방세(구세) 심의위원회 관리,"지방소득세 부과 징수(목2동,신월4동)",사회복지직 인건비 총괄 운영,찾아가는 청춘극장 지원 및 관리,발달장애인 주간/방과후활동서비스,"임산부,맞벌이,다자녀가정 가사서비스 지원사업",출산친화도시 조성협의회,녹색제품구매 활성화,용왕산 달빛거리 조성사업,온수근린공원(제2도시농업공원) 조성사업,청소대행업체 관리,공동체 활성화사업,"인사, 복무",재건축사업 정책지원 업무,녹색건축물조성지원사업 총괄,도로명주소위원회 운영,"예산편성, 지출결산, 일상경비, 복무관리 등",부서 주요업무계획 및 대외 보고자료 수합 총괄,하수분야 사업계획 및 예산집행 계획수립,"화물운송사업(개별,용달,택배)인.허가,변경허가 등",통합관제(주차 솔루션 개발) 관련,일반임기제(의사) 채용 및 평가,식품접객업 옥외영업 관리,모자건강증진센터 운영,약업소 관리,신월지소 건강상담실 업무
2,신년인사회,동직원 근무평정(7급이하),기획보도 작성,구립청소년독서실 운영지원,건강힐링문화관 관련 업무,민원사무편람 관리,보안 물품관리 문서관리,일자리 잡다(JOB多) DAY 총괄,중소도시 스마트시티 조성사업,공유재산 관리계획 수립,"회계, 지출, 수당, 급여에 관한 사항",공약사업 관련 업무,이의신청 및 소송업무총괄,종합사회복지관 운영지원 및 관리,"어르신일자리 및 사회활동지원사업 운영 및 지원, 공무직관리",응급안전안심서비스,"다문화가족지원협의회, 외국인 지원사업","키즈 오케이존 신규발굴, 팀 회의자료 및 보고자료 작성 등",민간환경단체 보조금 지원,공중선 정비업무,"지시사항, 공약사항 업무",인센티브사업 총괄,임대사업자 업무 총괄,문서관리 등,"주요업무계획 수립 및 예산, 결산",건축위원회 운영,"도로명주소 안내시설물 설치, 관리",지역안전지수,"목동(2,3,4), 신월동 관련 업무협의",목동신시가지 남측 오수관로 정비공사,화물유가보조금 서류신청 및 시스템 승인관리,주차장 확충방안 수립 용역,"보건소 인사, 근무평정, 성과상여금","신월2,4,6,7동 민원처리 및 시설조사",서울아기건강첫걸음,세이프약국 운영사업,지역사회중심 재활사업 및 사례관리
3,"예산,회계 및 회의자료 작성",동 업무보고 및 당면 현안사항,기자설명회 및 홍보아카데미 개최,스마트도서관 관련 사업,종무행사 지원 및 제3종 시설물 안전관리,유기한민원 접수 및 교부,구정 주요업무계획 수립,일자리종합정보지 제작,양천 스마트도시 중장기 마스터플랜 및 중장기 로드맵 추진,공유재산심의회 운영,시구세 현계 총괄,조례규칙 제정 및 개정,"지방소득세 부과 징수(목5동,신월2동)",사회복지 외부공모사업 인센티브 지원,양천50플러스센터 운영,양천해누리복지관,1인가구 지원사업 총괄,서울엄마아빠택시 사업,"중수도,빗물이용시설,잔류성유기오염물질 관리",도로관리 점용허가 및 점용료 부과 징수 총괄(신월동,"주요업무 추진계획, 예산회계 관련 업무","환경공무관 인사, 복무, 임금",임대사업자 세입(과태료) 총괄,"서부트럭터미널 도시계획, 목동 도시계획, 도시계획위원회, 역세권 활성화 관리방안 용역, 기타 팀내 지정되지 않은 업무",구의회 업무보고 및 회의자료 등,예산 및 재무회계 총괄,"상세주소 부여, 관리","코로나19 대응업무, 재난안전대책본부 운영",부서 예산편성 및 의회업무 수합 총괄,중기재정계획 및 심사분석,영업용화물자동차 차고지 관련업무,기타 주차장관련 타직원업무에 속하지 아니한 사항,보건소청사 확충 건립 및 청사관리,재난배상책임보험 관련 업무,코로나19 예방접종 총괄,의약품 안전사용 교육 사업,물리치료 및 재활운동치료 총괄
4,"해맞이 행사, 직원 체련대회",노후 주민센터 재건축(공약),언론사 취재 동향 및 취재결과 관리,교육경비보조금(환경개선) 지원,구립합창단,"진정,질의,이의신청 등",각종 협의회 및 구청장 관련 회의 총괄,일자리창출 연간 기본계획 수립 및 평가,대외기관 공모사업 총괄,공제보험,"지방세 환급 총괄, 지방세 실무협의회",지방세(구세) 심의위원회 운영,수당.급여 등 일반회계사항,"사회복지법인, 사회복지시설 국가정보시스템",대한노인회 양천구지회 운영 지원,장애인권교육센터,여성친화도시 조성 및 평가,"양천구 육아종합지원센터 운영,관리","폐수, 기타수질 배출업소 관리","주요업무계획 수립, 회의(보고)자료 작성, 예산 및 회계","감사, 구의회 관련업무",청소처리작업 총괄,임대차계약신고(신정동_온라인접수),"신월동 도시계획, 토지관리업무, 기반시설부담금 관리 등",양천구 빈집정비계획 수립 업무,물품관리 및 기록물 관리,"건물번호 부여, 관리",안전관리계획,하자검사,하수기동반 및 공공근로자 운영 관리 업무보조,"주요업무계획 및 예산, 결산","공영주차장 설계 및 공사(기계,전기,소방,통신)",지역보건의료계획,식품접객업소 신고처리,국가필수예방접종,"예산편성, 지출결산, 일상경비, 복무관리, 봉급, 수당, 충무계획(보건복지)",재활기구대여
5,중대재해처벌 관련 업무,동 종합평가,부정확한 보도사항 해명자료 배포 및 관리,학교 체육시설 개방지원 사업,"역사홍보관,문화재",정보공개 총괄,"주요시책회의 운영, 분야별 구민토론회",고용노동부 일자리공시제,신월3동 스마트 도시재생사업 총괄,수입증지,"지방소득세, 주민세, 등록면허세(면허) 환급 및 소인","취득세 및 재산세 담당동(목1동,신월5동)",지방소득세(종소) 총괄,보훈단체 관리,"양천50플러스센터, 양천장수문화대학 운영",장애인 보조금 지원,조성협의체 및 시민참여단 운영,서울형 키즈카페 확충 및 운영,토양오염원 관리,도로관리 점용허가 및 점용료 부과 징수(목동),"각종 회의자료, 직원인사 복무관리 업무 등",가로휴지통 관리 등,임대사업자 등록관리 업무 지원,"토지관리업무(택지개발지구, 토기주획정리사업지구, 이주민 정착단지)",양천구 빈집 실태조사 업무,충무계획 및 보안업무 총괄,도로명주소 전산시스템(KAIS) 운영 및 관리,양천생활안전체험관(체험관 임기제 관리)운영,공사대장 정리,하수도관리전산시스템,기업체교통수요관리 및 인센티브사업 추진,공영주차장 유지보수 관리 및 민원처리,통합건강증진사업 총괄,"신정3,7동 민원처리 및 시설조사",인플루엔자 예방접종,병원급 의료기관 민원처리 및 지도점검,스포츠재활운동및 기타 재활프로그램
6,공용차량,동 운영자금 지원,"보도자료, 기획보도 작성, 포토뉴스, 동정보고",야간개방학교 조명등 관련 업무,"문화산업(PC방,노래연습장), 출판, 관광 등 (신월동) 및 관련업무 총괄",각종면허 업무,"공공시설 재편 관리, 행정수요 조사 용역",노동복지센터 운영,신월3동스마트도시재생사업 스마트리빙랩 운영,구유재산 순찰,수납총괄,지방세(구세) 이의신청 총괄,지방소득세(종소) 신고 도움창구 총괄,보훈수당 및 보조금 지급,노인복지기금,장애인복지사업평가,가족친화기관 인증,장난감도서관 및 공동육아방 운영관리,안양천수질관리 및 시민자율환경감시단,"하천, 지하매설물, 구거부지 점용허가 부과징수",공원등 유지관리 및 연간단가 사업,청소순찰,"예산, 회계, 주요 업무보고",도시계획시설 단계별 집행계획 및 매수청구,주택건설업자 관리,"건축인허가(신월3동,신정3동)","도로명주소 홍보, 활용",디지털안전체험관 운영,도시계획(도로) 집행계획수립 및 협의,응답소 민원처리시스템 관련 업무,교통량 감축계획(프로그램) 추진,통합관제시스템 설치 운영,열린보건소 운영 등,식품위생교육 관리 및 과태료처분,위탁의료기관 지도점검,병원급 의료기관 인허가,예산 및 청사관리
7,청사관리 등,동장회의,주간보도회의,교육박람회 운영 총괄,양천문화재단 관리 및 지원,외국인 업무,"주요업무 자체 평가업무(공약, 주요업무등)","감정노동, 필수노동자 관련 업무","디지털트윈, 스마트마루 설치",공유재산 실태조사 및 관리지원,"취득세, 재산세, 자동차세, 등록면허세(등록) 환급.소인",주요업무계획 및 각종 회의자료 작성,"지방소득세 부과 징수(목3동,신월1동)",보훈회관 건립,목동시니어 스마트교육센터,장애인복지위원회,여성능력개발사업,저소득 한부모가정 지원,"회의자료, 연말정산, 비밀관리",사설안내표지 설치 허가 총괄,"cctv 유지관리, 공원팀 수경시설(전기 설비분야) 유지관리",무단투기 추진반 운영,"서울형 주택바우처, 반지하바우처 지원 사업",신월동 도시계획 업무,정비사업 정보몽땅 운영,중대형건축물 점검 총괄,부동산중개업 지도점검(목동),"재난지원금, 재난관리기금 관리","목동(1,5), 신정동 관련 업무협의","신월2,4,6동 민원처리",나눔카 활성화 및 운영업무 추진,기계식 주차장 보수업 등록,세외수입 부과 및 징수 결의,"유흥주점, 단란주점 허가",코로나19 민간위탁의료기관 관리,마약류관리에 관한 법률 관련 업무,"신월보건지소 청사관리 및 민원 접수, 진료비 수납"
8,"당직관리(편성, 수당, 당직전담기간제관리)",동청사 시설 및 정비 유지관리,구정 보도 DB관리(스크랩) 관리,"교육박람회 프로그램(개막식, 교육포럼, 강연, 영어스피치 경진대회) 운영",양천문화회관 위수탁 관련 업무,새올상담민원,"구정 주요업무 시행계획 수립, 매니페스토 자료 관리",중대재해 예방 업무,인공지능자원회수 로봇 설치,채권 및 부가가치세 총괄,"부동산공매, 공탁금압류","수당, 급여 등 일반회계사항",지방소득세(종소) 신고 도움창구 인력관리,(구)지역사회보장협의체 운영,고령자 운전면허 자진반납 원스톱 서비스,장애인단체연합회,"부서 홈페이지 관리, 충무계획","가정양육수당,부모급여,보육료,유아학비 자격결정 및 지급","예산, 회계, 복무, 물품 관리",부가가치세 관련업무,"공원녹지, 조경, 안양천 내 전기시설 유지관리 및 전기 자재 관리, 공원팀 전기차량 관리","무단투기 단속, 과태료 및 포상금","희망의 집수리 사업, 저소득층 에너지효율개선 사업",역세권 활성화를 위한 도시관리방안 마련 용역,"정비사업, 주택건설사업 공사장 안전관리 총괄","건축 인허가(신정1동, 신월6동)",부동산중개업 개설(목동),행사 안전관리계획 심의 및 인파 관리,도로(차도) 유지관리 총괄,지하안전관리계획,교통유발부담금,회의자료 및 업무보고 총괄,월별 세입 현황,"신월1,3,5동, 신정1동 민원처리 및 시설조사",산후조리원 신고처리 및 지도점검,"의료기기, 안전상비의약품판매업소, 화장품, 의약외품 관련 민원처리 및 지도점검",신월보건지소 대사증후군 영양상담
9,"보안점검, 보안업무",자율방범대운영,언론사 공고 및 광고 의뢰,교육박람회 홍보 전반,문화예술자문단 운영,통합민원 및 증명서 공용발급(기타),"우수부서 종합평가, 지속가능발전 업무",동행일자리(구 안심일자리)사업 운영,대외기관 공모사업 추진,감정평가업자 관리,개인회생 및 파산,취득세 및 재산세 담당동(목3동),마을세무사 업무총괄,지역사회보장계획,고령친화도시 조성,장애인일자리사업,여성단체 공익활동 지원사업 및 여성지도자 워크숍,"문서배부, 초과근무관리, 직원 급량비 및 여비 지급, 충무계획",기타 타직원에 속하지 않는 업무,국공유지 재산관리(국토교통부 소관),"시유공원 조성, 정비 및 유지관리",무단투기 새올응답소 등 민원업무처리,청년월세 한시 특별지원 사업,지구단위계획구역 재정비 수립 총괄 및 지원,정보공개청구 총괄,건축사 및 행정처분 관리,부동산실명법 관련 업무,안전관리위원회 및 안전정책실무조정위원회 운영,제설대책 업무 총괄,불량맨홀 및 장비투입구 유지관리,무임카드관리,"주차장 특별회계, 일반회계 예산편성 집행 결산",보건민원 접수 및 수납,위생분야 평가 관리,저소득층 기저귀조제분야 지원사업,의원급 의료기관 인허가 및 지도점검(목동),신월보건지소 영양사업운영
