과,하는일
행정지원과,"○ 사회복무요원 관리,7.0톤 살수작업,○ 구청사 시설 관리,○ 기관실 관리,○ 예산,○ 통합방위협의회, 치안협의회,○ 청사관리 등,○ 행사, 의전업무,○ 청사 대관, 회의실 관리,○ 구청사 주차장 관리,○ 물품구매 및 관리,○ 비서(문화도시행정국장, 힐링도시국장),○ 청사관리실 근무,○ 청사관리실 업무,○ 차량지원실,○ 전기실 근무,○ 전기실 업무, 승강기 업무,○ 전기 업무, 행사 관련 업무,○ 기관실 업무,○ 기관실 근무,○ 인사교류,○ 인사관리 및 인사상담,○ 조직 및 정ㆍ현원 관리,○ 기준인건비 관리,○ 임기제 관련 업무,○ 공무원 보수, 수당 업무,○ 복무 관리,○ 신규임용,○ 표창,○ 재직,경력증명,○ 인사전산,○ 친절,워크숍,공무국외출장,○ 연간교육훈련계획,○ 상시학습관리, 독서경영,○ 공무직, 기간제근로자 관리,○ 직원휴양소,○ 맞춤형복지,○ 4대보험, 건강보험,○ 비서실장,○ 정책 및 주요사업 업무보고 총괄,구청장실 민원비서,구청장 비서실,비서,구청장 수행,구청장 차량 운행,차량 운행,○ 비서실 근무,○ 종합상황실 근무,○ 숙직 전담,○ 숙직전담"
자치행정과,"주민생활 행정 관련 주요정책 개발,• 예산회계,선거업무, 동행정평가,동청사 신축 및 보수 등,통반장 조직운영, 모범구민표창,동청사 신축(이전) 및 보수 관리,주민등록,대학생 구정현장체험, 민주화운동 관련자 지원, 행정사,주민자치협의회 및 주민자치회 운영,○ 주민자치회 예산편성 및 집행관리 총괄,○ 주민자치회 자치계획 수립 지원,○ 주민총회 의결 의제 관리,○ 「주민제안사업」운영,민간단체 공익활동 지원사업 운영 및 평가,* 자치회관 프로그램 관리 및 강사료 지원,* 자치회관 운영현황 관리,* 자치회관 프로그램 경연대회 개최 및 시상,* 자치회관 종합평가 및 시상,* 주민자치회 워크숍 운영,* 자치회관 도농교류 사업 추진 및 지원,* 자치회관 조례, 규칙 개정,* 동주민센터 유휴공간 관리,○ 마을공동체활성화 업무 총괄 추진,○ 마을공동체지원센터 운영 총괄,- 마을공동체지원센터 연간 운영계획 수립,○ 마을공동체활성화를 위한 민·관 협력 및 지원,○ 중계온마을센터 시설 운영,○ 마을커뮤니티공간(상계6·7~9동 2개소) 운영 지원 및 관리 등,- 원터어울마루, 상구네행복발전소,• 마을커뮤니티 공간 운영 및 지원,• 마을공동체공간협의회 운영,• 신규마을공동체 공간 부지 검토 등 신규 공간 조성,마을커뮤니티공간 운영 지원,․ 민관협치 및 지역사회혁신계획 수립·시행,․ 마을커뮤니티 공간 운영지원,노원구마을공동체지원센터 총괄,° 마을아카데미 운영,° 마을커뮤니티공간 협력사업,° 마을커뮤니티공간 운영 지원 및 관리(공릉·상계1~3·4동),○ 노원아고라 운영,○ 중계온마을센터 공간 대관 관리,○ 중계온마을센터 축제 추진,○ 마을공동체지원센터 홍보 및 아카이브,○ 마을커뮤니티공간 운영 지원 및 관리(상계5~9동),° 마을공동체 공모사업 운영 및 관리,° 마을지원활동가 관리,° 자치구 및 대외협력 행사 운영,° 마을커뮤니티공간 운영 지원 및 관리(월계동·하계동),을지훈련, 충무계획, 민방위 편성·교육·훈련,사회복무요원, 민방위 시설 및 장비"
스마트안전과,"청소,제설,수방,• 집중안전점검,• 기능연속성계획,• 노원구 자율방재단,힐링냉장고, 자율방범대, 구민안심보험,안전한국훈련, 재난문자 송출 등,재난관리평가, 지역축제 안전관리, 국민안전교육,안전관리자,보건관리자,중대시민재해,지진, 안전취약시설,중대산업재해,○ 구 정보화 중∙장기 계획 수립,○ 데이터기반 행정 추진,○ 빅데이터분석시스템 구축·운영,○ 정보화사업 관리 및 평가 총괄,○ 공공데이터 활성화 및 품질 관리,대표/서브 홈페이지 운영 관리 총괄,홈페이지 부서 요구 사항 검토 및 개발,홈페이지 기능 개선 작업,홈페이지 관련 솔루션(검색솔루션, 웹방화벽 등) 운영,모바일(APP) 홈페이지 관리,아이핀 운영,U-ThinkTank(제안) 시스템 운영,○ 정보시스템실 관리 운영,○ 정보시스템 통합 유지 관리 총괄,○ 범정부 EA포털시스템 운영,○ DB접근제어, 통합백업(자체, 원격지), 지킴-e 운영,○ 부동산종합공부 서버 등 공간정보시스템 운영,∘ 구∙동 전산장비(PC, 프린터) 구매∙보급,∘ 행정업무용 상용소프트웨어 보급 및 관리,∘ IT희망나눔세상 접수 및 중고 PC 보급,∘ 정보통신보조기기 보급,∘ 웹디스크(웹하드) 시스템 운영,○ 새올행정시스템 및 공통기반시스템 운영,○ 행정정보포털시스템 운영,○ 단위업무시스템 기획 및 개발,○ 원격근무관리시스템(GVPN), 모바일현장행정 운영,○ 행정전자서명 운영,○ 행정정보공동이용시스템 운영,○ 스마트비전시스템 운영 관리,○ 업무관리시스템(온-나라 문서) 운영,○ 전자문서시스템 운영,○ 기록관리시스템 지원,○ 홈페이지 배너 관리,○ 홈페이지 콘텐츠 관리,○ 통합메세징시스템(UMS) 운영 관리,○ 정보통신관련 업무계획 수립 추진,○ 구의회, 예산관련 업무,○ 정보통신망 구축 및 정보보호업무 총괄,○ 광대역 자가정보통신망 구축 및 운영 (행정망, 서비스망, CCTV망),○ 자가정보통신망 광케이블 선로 정비 및 점검,○ 노원구 공공와이파이 신규설치 업무,○ 기타 타직원에 속하지 않은 업무,○ 서울시 네트워크 관리 (e-Seoul Net, u-Seoul Net),○ 정보통신설비 통합유지관리 및 구내통신망 구축 운영,○ 개인정보보호 업무 및 개인정보관리시스템 운영,○ 정보통신분야 재난 및 안전관리 업무,○ 인터넷전화(IPT), UC 메신저, 모바일 메신저 운영,○ 공공와이파이 운영 및 유지관리,○ 스마트 IPTV 및 N-스크린시스템 운영,○ 정보통신회선 공공요금 납부,○ 정보통신공사 착공전 설계검토 및 감리결과보고서 검토,○ 정보통신공사 사용전검사 민원업무,○ 정보통신보안업무 및 사이버침해대응,○ 정보보호시스템 구축 및 운영(행정망, 서비스망, CCTV망),○ 노원 스마트시티 기획업무 추진,○ KT 축제관광 분석솔루션 업무,○ 스마트도시 종합계획 수립 및 추진,○ 스마트시티 통합플랫폼 및 스마트서비스 확대 구축 운영,○ 스마트도시 통합운영센터 관련 조례/규칙 제정,○ 스마트도시팀 업무보고 자료 수합 등,○ 기타 다른 직원에 속하지 않는 업무,○ CCTV 설치 관련 예산수립 및 민원처리 업무,○ CCTV 신규 설치 업무(정),○ AI 다중운집 인파안전관리 시스템 구축,○ 재난관리 솔루션 운영,○ CCTV 신규 설치 업무(부),○ 스마트시티 통합플랫폼 및 스마트시티앱 운영,○ 스마트도시통합운영센터 보안시스템 구축 및 운영,○ 재난안전상황시스템 관리,○ 스마트도시 통합운영센터 환경개선 업무,○ 드론시스템 및 사물인터넷(IoT) 시스템 관리 및 신규사업 발굴,○ CCTV 성능개선 및 LED 안내판 설치 업무,○ 스마트도시 통합운영센터 시스템 운영 및 유지관리,○ 스마트도시 통합운영센터 시스템 노후교체 및 고도화,○ CCTV 운영심의위원회 관련업무 및 유관기관 협의,○ 스마트도시통합운영센터 인력관련 예산관리 및 운영,○ 스마트도시 통합운영센터 현황 총괄 관리,○ 마을방송시스템 운영 및 영상회의시스템 관리,○ 개인영상정보 관리 및 관련 민원 업무 총괄,○ CCTV 관련 공공요금 납부,○ 개인영상정보 관련 민원 응대 및 정보공개업무 처리,○ 드론아카데미 운영 및 재난상황 시 드론 시스템 운영,○ 스마트도시 통합운영센터 일일 점검 및 견학 운영,○ 보안USB 시스템 및 내외부 스마트시설물 운영·관리,○ 영상반출 및 화상순찰 실적 관리,○ CCTV 실시간 관제업무(재난안전, 공원, 스마트쉼터 등),○ 시설물 사고 및 긴급 민원 발생 시 현장 출동 및 확인,○ 영상반출 시스템 운영 및 관리대장 관리,○ 영상회의시스템, 센터 출입관리시스템, 재난안전상황시스템 운영,○ CCTV 시설물 현장 점검 및 현황 관리"
문화도시과,"• 문화시설 건립,• 시 협력사업,• 문화시설 개선,• 문화원 지원,• 노원문화재단 지원,• 문화시설 관리 및 운영지원,• 경춘선숲길 발전자문위원회 운영,• 문화 바우처,• 문화시설 뉴딜일자리,• 문화시설 공공근로,• 축제관련 기획,• 축제위원회 운영,• 동마을축제 지원,• 관광개발,• 유원시설업 등 관광사업,• 동 마을 축제운영,• 노원거리예술제 공연 지원,• 국가지정·시지정문화재,• 향토문화재,• 구립 예술단체 지원,• 음악,게임,출판업, 대중문화예술 기획업 관련 인허가 업무,• 마들농요 운영 지원,• 종무행정 및 종교단체 비영리 법인 관련 업무,• 전통문화체험관 업무 총괄,• 전통문화체험관 사무행정"
체육도시과,"• 인사, 복무, 수당(초과, 여비, 급량비 등),• 주요업무계획, 회의자료, 구의회 관련 업무,• 보안업무, 충무계획,• 기록물관리(문서접수 및 발송 등), 물품관리,• 노원구 체육회 운영 관리,• 체육단체 관리,• 사격선수단 운영,• 동 체육회,• 구민체육대회,• 물놀이장 운영,• 생활체육교실,• 축구(풋살)교실 운영,• 눈썰매장 운영,• 체육바우처사업 운영,• 체육사업 기획 및 운영,• 운동하러 노원 가게 운영,• 걷는도시노원 사업 운영,- 걷기 마일리지, 걷기 챌린지 등 워크온 운영,• 공공체육시설 건립 추진,- 중계구민체육센터 신축,- 상계구민체육센터 건립,- 상계동 1314 체육용지 관리 및 활용 추진,- 장암동 군부대 부지 매입 추진,- 공릉구민체육센터 건립,- 중랑천 제2파크골프장 조성,• 공공체육시설 관리,- 월계구민체육센터,- 불암산스포츠타운, 수락산스포츠타운,- 당고개배드민턴장, 공릉동다목적구장,- 공원 내 개방형 체육시설 등 관리,- 국궁장, 당고개 인공암벽장 관리,- 시립어울림체육센터 건립,- 육사체육시설 관리 및 운영,- 마들스포츠타운, 초안산스포츠타운,• 수영장 수질점검 관리,• 체육시설업 신고 업무,• 수상레저기구 등록, 변경"
민원여권과,"○ 민원행정서비스 종합평가,○ 민원공무원 힐링프로그램 운영,○ 민원행정 및 제도개선 기본계획,○ 월별민원처리 현황 점검,○ 정보공개총괄,ㆍ민원실 안전관리 전담 및 직원 보호 업무,ㆍ노약자 및 배려대상자 등 방문민원인 민원업무 안내,ㆍ행정우편물 접수․발송 및 우편물 발송요금 납부,ㆍ민원사무편람(민원사무서식 및 홈페이지) 관리,○ 기록물(문서) 관리업무 총괄,○ 행정우편물 접수, 발송,○ 문서직인,○ 공인등록, 관리,○120 구통합콜센터 운영,○정부24시,○보조금24,○유기한민원 접수(건축 기타),○ 유기한민원 접수 업무,(감사담당관, 탄소중립추진단, 교통건설국),○ 유기한민원 단축률 관련 업무, 세입징수보고 업무,○ 정보공개 접수,○ 통합민원(어디서나 민원 총괄),○ 인감,❍ 유기한민원 접수 업무,(미디어홍보담당관, 문화도시행정국, 기획재정국, 교육복지국,,도시계획국, 힐링도시국),❍ 민원처리서비스(사전심사청구, 민원후견인, 1회방문) 업무,❍ 통합민원 지원,○ 면허증 발급관련 업무(건설기계, 수렵, 이미용사, 조리사 면허),○ 인허가 신고증 교부 (문화체육, 일자리, 디자인건축),○ 외국인 업무(체류지변경),❍ 통합민원 (가족관계증명서 발급 총괄),- 주민등록등초본, 세대열람, 인감, 본인서명사실증명,,출입국사실증명, 가족관계증명 등 발급,❍ 공용발급(가족관계증명),❍ 통합민원 (주민등록 등·초본 발급 및 열람 총괄),❍ 통합민원 공용발급(주민등록 등·초본),○ 가족관계등록·제적정보시스템 관리,○ 정보시스템 식별부호 승인 및 해지신청,○ 보조금예산집행,○ 동 신고서(출생,사망) 접수·기록,○ 법원월보,○ 가정법원통지서에 대한 최고,○ 법원기재허가신청,○결격사유 조회 및 접수,○채무불이행자 관리,○직권정정 기록(월계동),○인구동향,○ 가족관계등록 교합(동 접수),○ 문자서비스(완료,축하) 동,○ 결격사유 조회 및 접수(총괄),○ 채무불이행자 관리(우편물 포함),○ 가족관계등록부 기록(구 신고서),○ 직권정정·기록(상계동, 월계동),○ 노원구외 타시도 직권정정.기록,○전화민원안내,○인구동향(출생, 이혼),○ 가족관계등록신고 접수(총괄),○ 직인관리,○ 가족관계등록 과태료,○ 직권정정·기록(중계동, 하계동),○ 한글이름 정정,○ 가족관계등록 신고 접수,○ 사망자 재산조회 및 양육수당 접수,○ 여권업무 총괄,o 여권수수료 관리 및 월보,o 기재사항 변경 처리,o 여권심사 및 여권교부, 여권대조 판독 지원,o 상습분실자 수사 의뢰,○여권접수 및 교부,○온라인 발급 사진 확인,○발급여권관리,○여권교부 및 여권대조 판독,○여권심사 지원,○여권심사,○영문변경신청자 심사요청,○기재사항 변경 처리,○여권교부 및 여권대조 판독 지원,o 발급여권 및 여권발급신청서 관리,o 발급여권 대조확인,o 여권교부 및 여권대조 판독,o 6개월경과 미 수령 여권 관리,o 여권심사 지원"
평생학습과,"• 상계평생교육원 건립,• 노원여성교육센터 등,• 관학협력 지원사업 기획 및 운영,(노원평생학습대학,여성아카데미),• 평생학습축제 운영,• 평생교육운영 종합계획 수립,• 평생학습도시 운영 및 재지정 평가,• 노원평생교육포털 관리 및 기능개선,• 평생학습동아리,• 평생교육사업 업무 총괄,• 불후의명강,• 민주시민교육,• 마을배움터 기획 및 운영,• 노원마을배움터 홈페이지 운영 및 관리,• 동네배움터 기획 및 운영 지원,• 동네배움터 기획·운영 지원,• 장미실습장운영,• 공릉평생교육원 운영,• 구민정보화교육,• 노원평생교육원 프로그램(음악,건강,교양) 관리"
기획예산과,"• 주요업무계획 수립,• 확대간부회의 등 정책회의 운영,• 구의회 업무(구정질문 등),• 구청장 대외자료 작성, 관리,• 동북4구행정협의회,• 정부혁신 업무, 남북교류협력 관련 업무,• 생활SOC 총괄, 제휴카드 관리,• 구청장 요청사항 관리,• 성과관리,• 구청장 인사말씀,• 구청장협의회,• 공약사업 및 핵심과제 관리 및 점검,• 외부평가 관리(정부합동평가, 매니페스토 등),• 기타 공약사업 관련 현안업무 등,• 구정백서, 구정기본현황, 부구청장 회의,• 종합자료실 관리,• 비서(기획재정국장,교육복지국장),• 사업예산 편성(문화도시행정국,미디어홍보담당관),• 특별교부금(세),• 예산이월, 이체,• 사업예산편성(기획재정국,보건소),• 서비스공단 예산편성 및 관리,• 투자심사,• 세입추계,• 사업예산(교육복지국),• 보조금 관리,• 전환사업 관리,• 사업예산 편성(도시계획국, 힐링도시국),• 市 예산 분석 및 자료 작성,• 재정공시·재정분석,• 예산의 성과계획서 관리,• 예비비 운영,• 예산배정계획 수립(수시·정기),• 사업예산 편성(탄소중립추진단, 교통건설국, 의회사무국),• 기금 편성 및 관리 운영,• 간주처리,• 이용, 전용, 변경사용 총괄,• 예산성과금 및 예산낭비신고센터 운영,• 성인지예산 수립,• 재정동원계획 수립,• 법령해석 검토 및 법률 자문,• 소송 수행, 소송사건 지휘 및 사무처리,• 행정심판 지휘 및 사무처리,• 법률고문 운영,• 법제심사,• 조례,규칙심의회 운영,• 자치법규 정비 및 전결사무 관리,• 법령, 규제개선 건의과제 발굴,• 인구주택총조사 및 경제총조사,• 통계연보 발간,• 중요문서(고시 및 공고)심사,• 법률고문 운영(위,해촉, 자문료 등),• 마을변호사 및 마을법무사 운영,• 행정사무의 민간위탁 조례 관련 사무,• 구정정책 개발추진,• 공모사업 발굴 및 관리,• 지방이양사무 및 자치분권 업무 관리,• 학술연구용역 관리,• 구정정책개발 업무,• 제안제도 운영,• 대학생 아이디어 공모전,• 생활정책공감참여단 운영"
재무과,"공유재산관리(상계동),공유재산 관리(중계동, 공릉동),• 공유재산대부료 총괄,• 공유재산심의위원회,• 공유재산관리(월계동, 하계동),• 재해복구 및 영조물배상보험,계약팀장,• 공사 및 용역계약,- 문화도시행정국, 교육복지국, 도시계획국, 보건소,- 기획재정국,교통건설국,감사담당관, 미디어홍보담당관, 탄소중립추진단,물품계약,관급자재,조달계약,공사 및 용역계약(힐링도시국), 물품수급관리,• 물품계약, 관급자재 및 조달계약, 지출원인행위,- 문화도시행정국, 교육복지국, 힐링도시국, 미디어홍보담당관,• 물품수급관리 계획 및 재물조사(정),예산결산, 구금고,구, 동 일상경비 교부 및 정산,국, 시비 심사 및 지출,,세입, 세출외 현금관리,복식부기 및 재무결산,급여 보수수당 관련업무,도시계획사업 보상업무,• 도시계획사업 보상업무,• 미지급용지 보상 및 하천편입토지 보상,• 보상협의회 운영 관리,• 담당 보상업무 소송사건 수행,보상업무,도시계획사업 보상,도시계획시설사업 보상업무"
일자리경제과,"• 일자리 종합계획 수립, 추진 및 일자리위원회 운영,• 지역일자리 목표공시제 추진,• 일자리 박람회,• 인덕대 창업&지역경제한마당 행사 지원,• 일자리성과 관리 및 일자리보고회,• 공공일자리 월별 자료수합 및 참여자DB 관리,• 스마트비전시스템 일자리분야 DB 관리,• 미니산업단지 조성 추진,• 노동복지센터 지원 및 관리,• 일자리창출사업 지원(메이커스원),• 노사민정협의회 운영 및 활성화 사업 추진,• 필수노동자 및 배달노동자 지원 사업 등,• 노동조합 업무,• 일자리&생활법률센터 운영,- 공무직(2명) 임금 및 복무 관리,- 일자리센터 취업 등 운영실적 관리,- 법률(생활, 부동산)상담민원 신청접수 및 안내 등,• 노원구 생활임금 관련 업무,- 생활임금심의위원회 운영, 결과보고 등,• 구민 고용보험료 지원 추진,- 홍보, 분기별 신청접수, 지원금 개별 입금처리 등,• 유료 및 무료 직업소개소 관련업무,- 신고처리(신규, 변경등록), 점검, 행정처벌,,구직자 민원처리 등,• 관학협력 특화사업(관내 대학교),구인구직상담(일자리&생활법률상담센터),일자리상담 등(일자리&생활법률상담센터),• 사회적경제지원센터 예산편성 및 운영계획 수립,• 사회적경제지원센터 제1~4관 운영 총괄,• 민간위탁(재위탁, 재계약) 관련 업무,• 사회적경제 관련 공모사업 추진,• 사회적경제 한마당 개최,• 사회적경제위원회 구성 및 관리,• 사회적기업 육성 지원,• 협동조합 신고, 관리 및 지원,• 마을기업 육성 지원,• 지역화폐 운영 관리(시스템, 교육, 홍보, 회원 및 가맹점 관리 등),• ‘노원 사회적경제 지원센터’ 관리 및 운영 업무,• 사회적경제기업 지원 업무보조 및 입주기업 공모,• 사회적경제기업 제품 공공구매 활성화 지원,• 위탁시설(스토어36.5, 마을과마디, 갤러리힐링카페) 운영 지원,• 사회적경제 종사자 대회 지원,• 노원안심일자리사업 추진 및 관리,• 노원어르신행복주식회사 신규사업 발굴 등 지원,• 수락마을김치협동조합 지도, 감독,• 노원어르신행복주식회사 관리, 지원,• 뉴딜일자리 사업 관리,• 취업지원관(특성화고) 관리 및 업무 지원,• 지역공동체, 지역방역일자리 사업추진 및 관리,• 공공일자리(안심일자리, 지역공동체) 산업안전보건 업무,• 공공일자리 중복, 반복 조회 및 관리 등,• 전통시장(상계중앙시장) 시설 및 경영현대화 사업 추진,• 상계중앙시장 아케이드 증축 설치공사, CCTV 설치 추진,• 상계중앙시장 공영주차장 건립 및 임시주차장 관리,• 상계중앙시장 경영패키지 및 특성화 시장 육성사업,• 상계중앙시장 고객지원센터 운영 지원,• 전통시장(공릉동도깨비시장) 시설 및 경영현대화 사업 추진,• 공릉동도깨비시장 아케이드 도색 및 보수, 간판개선 사업 추진,• 공릉동도깨비시장 공영주차장 건립 추진,• 공릉동도깨비시장 문화관광형시장 육성사업,• 공릉동도깨비시장 고객지원센터 건립 추진,• 전통시장 화재공제 가입 지원,• 전통시장 및 골목상권 매니저 채용 관리,• 상점가(5개소) 시설 및 경영현대화 사업 지원,• 상계역전종합상가 상점가 고객편의시설 설치 지원,• 상점가 및 골목형 상점가 상인회 구성 및 등록 추진,• 상점가 및 골목형 상점가 지정‧사업지원,• 전통시장 상점가 안전관리 계획,• 지역상권 상생 및 활성화 지원,• 로컬브랜드 상권 육성사업 지원,• 중소기업육성기금 운영관리,• 소상공인 특별신용보증대출,• 소상공인 버팀목 고용장려금,• 소상공인 한파지원금(난방비),• 노원구 상공회 운영 지원,• 소상공인 실태조사,• 무급휴직 근로자 지원금,• 소상공인 지원 종합계획 수립,• 공장등록 신규, 변경, 폐쇄,• 노원구 소상공인회 운영 지원,• 동원자원조사 등 중소벤처기업부 충무계획,• 소상공인 웹페이지 관리,• 소상공인 지원사업 홍보 총괄,• 중소기업제품 전시관,• 공공구매 및 중소기업제품 홍보,• 의류제조업체 작업환경개선 지원사업,• 중소기업, 소상공인 풍수해 피해 지원,• 코로나 피해 손실보상 업무(소상공인 손실보상, 손실보전금 등),• 제로페이, 노원사랑상품권 관련 업무,• 젠트리피케이션, 착한건물주 지원 업무,• 중소기업육성기금 관리 및 융자지원,• 대규모점포, 기업형 슈퍼마켓(SSM) 등록 및 관리,• 계량기(검사,등록,봉인)관련 업무,• 대부업 등록, 폐업, 변경신고 및 지도단속, 실태조사,• 금융감독원, 금융관련업무 처리,• 전화권유판매업 신규등록, 변경, 폐업신고 및 민원사항 처리,• 방문판매업 신규등록, 변경, 폐업신고 및 민원사항 처리,• 통신판매업 신규등록, 변경, 폐업신고 및 민원사항 처리,• 소비자보호법 및 전자상거래 관련 민원사항 처리,• 담배 도소매인 등록 및 단속,• 물가조사, 가격표시제 등 물가 관련 업무,• 물가안정모범업소(착한가게) 지정 및 모니터링 자료 평가"
